# u[lambda]	v[lamda]	Re(V)[Jy]	Im(V)[Jy]	weight
-3.631162e+05	-2.344624e+05	5.772582e-02	3.168878e-03	1.215047e+05
2.416380e+05	-1.006201e+05	7.735709e-02	3.939667e-03	1.234843e+05
6.942467e+04	-3.866754e+04	2.126196e-01	-3.635957e-03	1.183645e+05
-8.091863e+05	2.719815e+05	1.964593e-02	6.325917e-03	1.013899e+05
9.220779e+05	-5.145397e+05	8.612949e-03	-1.305827e-03	1.162206e+05
-3.431206e+02	6.527041e+05	7.622945e-03	-1.107694e-04	1.017244e+05
-6.559808e+04	1.440593e+05	1.221155e-01	-8.032972e-03	9.756906e+04
1.216754e+06	-2.201006e+05	6.160106e-03	5.074233e-03	1.385654e+05
1.528103e+05	3.386549e+04	1.461247e-01	3.545242e-03	1.111074e+05
9.060593e+04	-5.868945e+04	1.648868e-01	1.089715e-02	1.223466e+05
